"Fecha.de.la.actividad","Tipo.de.actividad","Tiempo.transcurrido","Distancia","Ritmo.cardiaco.máximo","Esfuerzo.Relativo","Equipamiento.de.la.actividad","Tiempo.en.movimiento","Velocidad.máxima","Velocidad.promedio","Desnivel.positivo","Pendiente.máxima","Pendiente.promedio","Cadencia.máx.","Cadencia.promedio","Ritmo.cardiaco.promedio","Vatios.máx.","Vatios.promedio","Calorías"
2016-10-30,"Bicicleta",11189,84.78,170,NA,"Giant TCR Composite 2",10314,54.7199993133545,NA,293.717987060547,9.10000038146973,-0.0166303589940071,NA,NA,140,NA,NA,32455449
2016-11-01,"Bicicleta",10995,80.48,170,NA,"Giant TCR Composite 2",10300,62.639998626709,NA,764.766540527344,22.3999996185303,-0.0175179652869701,NA,NA,140,NA,NA,32411395
2016-11-13,"Bicicleta",10057,72.2,170,NA,"Giant TCR Composite 2",9368,63.360001373291,NA,670.061157226562,25,-0.0196667462587356,NA,NA,140,NA,NA,29478635
2017-02-19,"Bicicleta",9070,63.2,170,NA,"Giant TCR Composite 2",8511,66.960001373291,NA,528.092468261719,28.7999992370605,-0.0219937749207019,NA,NA,140,NA,NA,26781881
2017-02-26,"Bicicleta",8689,64.35,170,NA,"Giant TCR Composite 2",8297,61.2,NA,533.890502929688,21.7999992370605,-0.0220640450716018,NA,NA,140,NA,NA,26108480
2017-03-05,"Bicicleta",12015,87.61,170,NA,"Giant TCR Composite 2",11423,62.279997253418,NA,720.506652832031,40,-0.0163220949470996,NA,NA,140,NA,NA,35945181
2017-03-12,"Bicicleta",11094,86.83,170,NA,"Giant TCR Composite 2",10739,63,NA,797.895202636719,40,-0.0160077568143606,NA,NA,140,NA,NA,33792812
2017-03-19,"Bicicleta",12007,90.89,170,NA,"Giant TCR Composite 2",11300,66.960001373291,NA,612.622375488281,21.2000007629395,-0.0156226968392729,NA,NA,140,NA,NA,35558132
2017-04-02,"Bicicleta",11769,85.8,170,NA,"Giant TCR Composite 2",11259,71.279997253418,NA,894.519592285156,21.5,-0.0165486317127943,NA,NA,140,NA,NA,35429116
2017-04-09,"Bicicleta",12142,95.3,170,NA,"Giant TCR Composite 2",11421,56.160001373291,NA,701.244323730469,20.2000007629395,-0.014585580676794,NA,NA,140,NA,NA,35938887
